Survey,CSA,CBSA,MONCOV,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
201912,172,16740, ,Charlotte-Concord-Gastonia  NC-SC ,15007,15007,3931332,20,40,4888,25,88,12348,228,8158,812649,12844,12844,3180286,20,40,4888,23,82,11140,208,7874,776107
201912,174,16860, ,Chattanooga  TN-GA ,1529,1529,327495,51,102,8585,7,26,2025,32,616,61037,969,969,209061,17,34,3754,2,7,923,1,7,766
201912,174,17420, ,Cleveland  TN ,354,354,60473,10,20,1906,13,46,3761,1,78,6546,156,156,24809,10,20,1906,13,46,3761,1,78,6546
201912,176,16980, ,Chicago-Naperville-Elgin  IL-IN-WI ,7582,7582,2146474,197,394,68351,225,747,144722,269,9298,990067,6365,6365,1824255,169,338,60286,224,743,144177,198,8548,914216
201912,176,28100, ,Kankakee  IL ,27,27,7900,0,0,0,0,0,0,0,0,0,27,27,7900,0,0,0,0,0,0,0,0,0
201912,176,33140, ,Michigan City-La Porte  IN ,111,111,26864,0,0,0,0,0,0,0,0,0,111,111,26864,0,0,0,0,0,0,0,0,0
201912,178,17140, ,Cincinnati  OH-KY-IN ,4452,4452,1148869,14,28,3805,14,54,10292,47,1516,187078,3527,3527,927132,14,28,3805,14,54,10292,37,1443,182390
201912,184,10420, ,Akron  OH ,519,519,268479,1,2,300,0,0,0,0,0,0,519,519,268479,1,2,300,0,0,0,0,0,0
201912,184,15940, ,Canton-Massillon  OH ,412,412,104270,7,14,2229,7,22,1128,18,110,8194,366,366,98902,7,14,2229,0,0,0,6,48,3432
201912,184,17460, ,Cleveland-Elyria  OH ,2522,2522,715120,24,48,4713,31,112,12167,16,298,30553,1986,1986,607388,14,28,3504,28,103,11544,14,131,18253
201912,190,17860, ,Columbia  MO ,627,627,171554,2,4,372,0,0,0,4,162,22927,624,624,170914,2,4,372,0,0,0,4,162,22927
201912,192,17900,C,Columbia  SC ,4205,4205,923333,5,10,1347,0,0,0,16,225,38133,3913,3913,859739,5,10,1347,0,0,0,9,144,29255
201912,194,12220,C,Auburn-Opelika  AL ,1129,1129,299407,33,66,8717,16,55,7745,16,841,165568,1129,1129,299407,33,66,8717,16,55,7745,16,841,165568
201912,194,17980, ,Columbus  GA-AL ,680,680,135738,1,2,144,2,8,254,12,380,53938,280,280,65148,1,2,144,0,0,0,0,0,0
201912,198,18140, ,Columbus  OH ,4142,4142,1236108,34,68,11210,38,148,18241,164,4069,370209,3588,3588,1089285,31,62,9910,36,142,17722,153,3974,361945
201912,204,18580, ,Corpus Christi  TX ,1058,1058,182477,3,6,480,1,4,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201912,206,19100, ,Dallas-Fort Worth-Arlington  TX ,35149,35149,9249434,192,384,49845,79,293,44758,600,26737,3361825,24311,24311,6651741,139,278,36342,59,219,36093,429,20179,2672481
201912,209,19340, ,Davenport-Moline-Rock Island  IA-IL ,400,400,89958,0,0,0,0,0,0,9,206,21524,317,317,71378,0,0,0,0,0,0,9,206,21524
201912,212,19430, ,Dayton-Kettering  OH ,984,984,332386,2,4,311,1,4,571,10,122,24298,665,665,262574,0,0,0,1,4,571,10,122,24298
201912,212,44220, ,Springfield  OH ,70,70,17381,0,0,0,0,0,0,1,6,465,70,70,17381,0,0,0,0,0,0,1,6,465
201912,216,14500, ,Boulder  CO ,658,658,258511,0,0,0,0,0,0,43,906,137637,658,658,258511,0,0,0,0,0,0,43,906,137637
201912,216,19740,C,Denver-Aurora-Lakewood  CO ,11051,11051,3187775,43,86,14044,31,104,17812,128,8037,1082829,9101,9101,2646338,38,76,12866,27,92,16416,117,7741,1044148
201912,216,24540, ,Greeley  CO ,2907,2907,791155,2,4,740,13,48,9143,46,938,113642,1265,1265,332471,2,4,740,6,22,4942,33,839,97020
201912,218,11180, ,Ames  IA ,66,66,21562,0,0,0,1,3,440,8,272,19904,66,66,21562,0,0,0,1,3,440,8,272,19904
201912,218,19780, ,Des Moines-West Des Moines  IA ,3839,3839,1048823,15,30,6136,2,8,1316,35,1312,163955,3801,3801,1039103,15,30,6136,2,8,1316,29,1282,161192
201912,220,11460, ,Ann Arbor  MI ,331,331,89435,0,0,0,4,12,2421,15,123,15270,218,218,56936,0,0,0,1,3,805,10,93,12258
201912,220,19820, ,Detroit-Warren-Dearborn  MI ,5222,5222,1506273,28,56,8394,47,170,26013,138,1953,280237,4276,4276,1260476,28,56,8394,37,137,23390,97,1703,234415
201912,220,22420, ,Flint  MI ,264,264,71036,1,2,520,28,104,21293,1,23,2577,200,200,52519,1,2,520,1,4,607,1,23,2577
201912,220,33780, ,Monroe  MI ,7,7,1360,0,0,0,1,4,340,0,0,0,7,7,1360,0,0,0,1,4,340,0,0,0
201912,222,20020, ,Dothan  AL ,219,219,53437,0,0,0,1,4,480,3,48,4832,194,194,48222,0,0,0,1,4,480,3,48,4832
201912,232,20740, ,Eau Claire  WI ,434,434,105604,58,116,14537,0,0,0,16,157,14120,264,264,65628,47,94,12104,0,0,0,16,157,14120
201912,236,21300, ,Elmira  NY ,2,2,400,0,0,0,0,0,0,0,0,0,2,2,400,0,0,0,0,0,0,0,0,0
201912,238,21340,C,El Paso  TX ,2206,2206,511054,58,116,14111,60,237,30499,27,325,52931,555,555,112852,8,16,1137,51,204,26200,0,0,0
201912,238,29740,C,Las Cruces  NM ,873,873,219996,3,6,640,0,0,0,4,96,9585,706,706,169887,3,6,640,0,0,0,4,96,9585
201912,240,21500, ,Erie  PA ,41,41,12126,1,2,250,0,0,0,2,14,970,38,38,11708,1,2,250,0,0,0,2,14,970
201912,244,22020, ,Fargo  ND-MN ,922,922,226171,0,0,0,2,8,1440,5,478,58489,859,859,207858,0,0,0,2,8,1440,5,478,58489
201912,246,22180, ,Fayetteville  NC ,1500,1500,247917,5,10,1596,0,0,0,11,282,18754,908,908,175749,5,10,1596,0,0,0,11,282,18754
201912,258,23060,C,Fort Wayne  IN ,1330,1330,353860,9,18,485,9,27,1246,23,581,62889,1330,1330,353860,9,18,485,9,27,1246,23,581,62889
201912,260,23420,C,Fresno  CA ,2209,2209,677594,35,70,12531,72,219,14075,85,772,100463,1004,1004,277765,0,0,0,69,210,13702,23,284,41103
201912,260,31460, ,Madera  CA ,633,633,161220,0,0,0,0,0,0,0,0,0,633,633,161220,0,0,0,0,0,0,0,0,0
201912,264,23540, ,Gainesville  FL ,579,579,153256,2,4,901,0,0,0,23,1543,105494,450,450,135982,2,4,901,0,0,0,11,458,68550
201912,266,24340, ,Grand Rapids-Kentwood  MI ,1561,1561,409754,22,44,7859,16,58,6662,59,1211,114476,1265,1265,341623,20,40,7070,15,55,6572,41,856,78935
201912,266,34740, ,Muskegon  MI ,43,43,8565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201912,267,24580, ,Green Bay  WI ,632,632,190851,5,10,1491,0,0,0,34,369,31079,396,396,114841,2,4,620,0,0,0,19,237,20745
201912,268,15500, ,Burlington  NC ,574,574,108110,0,0,0,0,0,0,2,66,2069,574,574,108110,0,0,0,0,0,0,2,66,2069
201912,268,24660,C,Greensboro-High Point  NC ,2002,2002,482488,6,12,1147,0,0,0,20,409,47647,2002,2002,482488,6,12,1147,0,0,0,20,409,47647
201912,268,49180, ,Winston-Salem  NC ,2217,2217,403473,0,0,0,0,0,0,4,85,3966,0,0,0,0,0,0,0,0,0,0,0,0
201912,272,24780, ,Greenville  NC ,301,301,57636,44,88,11219,0,0,0,9,317,38761,301,301,57636,44,88,11219,0,0,0,9,317,38761
201912,273,24860, ,Greenville-Anderson  SC ,5384,5384,1320697,48,96,8978,1,3,390,63,1058,107440,5177,5177,1283519,44,88,7965,0,0,0,56,972,96934
201912,273,43900, ,Spartanburg  SC ,2596,2596,425101,0,0,0,0,0,0,0,0,0,2596,2596,425101,0,0,0,0,0,0,0,0,0
201912,276,23900,C,Gettysburg  PA ,220,220,67925,0,0,0,0,0,0,0,0,0,220,220,67925,0,0,0,0,0,0,0,0,0
201912,276,25420,C,Harrisburg-Carlisle  PA ,1151,1151,249518,11,22,3325,30,104,16637,50,732,87899,992,992,212677,11,22,3325,30,104,16637,46,684,84899
201912,276,30140, ,Lebanon  PA ,212,212,39620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201912,276,49620, ,York-Hanover  PA ,98,98,26244,1,2,192,2,8,816,2,37,1750,83,83,22305,1,2,192,2,8,816,2,37,1750
201912,277,25500,C,Harrisonburg  VA ,361,361,106897,0,0,0,0,0,0,0,0,0,361,361,106897,0,0,0,0,0,0,0,0,0
201912,277,44420, ,Staunton  VA ,174,174,40221,0,0,0,3,12,970,5,204,22026,174,174,40221,0,0,0,3,12,970,5,204,22026
201912,278,25540,C,Hartford-East Hartford-Middletown  CT ,855,855,171600,20,40,4405,12,44,4921,68,459,38057,648,648,122246,15,30,3518,12,44,4921,17,143,10599
201912,278,35980, ,Norwich-New London  CT ,120,120,28188,3,6,600,1,4,45,7,114,14044,84,84,22229,3,6,600,1,4,45,7,114,14044
201912,279,25620, ,Hattiesburg  MS ,39,39,9426,2,4,288,10,40,6155,0,0,0,39,39,9426,2,4,288,10,40,6155,0,0,0
201912,284,26300, ,Hot Springs  AR ,47,47,11836,5,10,1342,0,0,0,5,60,7200,47,47,11836,5,10,1342,0,0,0,5,60,7200
201912,288,26420, ,Houston-The Woodlands-Sugar Land  TX ,39821,39821,7119885,154,308,34572,15,58,4636,522,21583,2378703,30519,30519,6544941,149,298,33923,15,58,4636,488,21376,2365196
201912,290,19460, ,Decatur  AL ,169,169,31174,0,0,0,0,0,0,0,0,0,65,65,12746,0,0,0,0,0,0,0,0,0
201912,290,26620,C,Huntsville  AL ,3350,3350,506284,1,2,140,20,80,6800,17,85,2190,2311,2311,312812,1,2,140,20,80,6800,17,85,2190
201912,292,26820, ,Idaho Falls  ID ,1034,1034,175995,0,0,0,13,52,4080,1,6,581,1034,1034,175995,0,0,0,13,52,4080,1,6,581
201912,294,18020, ,Columbus  IN ,189,189,44516,0,0,0,0,0,0,0,0,0,189,189,44516,0,0,0,0,0,0,0,0,0
201912,294,26900, ,Indianapolis-Carmel-Anderson  IN ,6839,6839,2007806,56,112,17646,15,59,12131,82,2243,288294,6315,6315,1882821,50,100,15956,15,59,12131,80,2198,287364
201912,294,34620, ,Muncie  IN ,23,23,2287,0,0,0,0,0,0,0,0,0,23,23,2287,0,0,0,0,0,0,0,0,0
201912,296,27060, ,Ithaca  NY ,15,15,4442,8,16,1896,0,0,0,13,77,9242,9,9,2905,0,0,0,0,0,0,0,0,0
201912,297,27180, ,Jackson  TN ,156,156,34172,0,0,0,0,0,0,0,0,0,156,156,34172,0,0,0,0,0,0,0,0,0
201912,298,27140, ,Jackson  MS ,961,961,249193,0,0,0,0,0,0,10,220,23104,941,941,245467,0,0,0,0,0,0,0,0,0
201912,300,27260,C,Jacksonville  FL ,11311,11311,2722194,27,54,7524,16,63,10307,83,3440,370652,9817,9817,2352956,27,54,7524,16,63,10307,77,3346,359271
201912,304,27740, ,Johnson City  TN ,135,135,27940,4,8,393,0,0,0,7,88,8827,0,0,0,0,0,0,0,0,0,0,0,0
201912,304,28700, ,Kingsport-Bristol  TN-VA ,20,20,4623,3,6,280,0,0,0,0,0,0,20,20,4623,3,6,280,0,0,0,0,0,0
201912,306,27780, ,Johnstown  PA ,4,4,950,0,0,0,0,0,0,0,0,0,4,4,950,0,0,0,0,0,0,0,0,0
201912,308,27860, ,Jonesboro  AR ,487,487,73985,31,62,4249,33,121,6245,13,81,4661,86,86,11377,1,2,115,0,0,0,0,0,0
201912,309,27900, ,Joplin  MO ,202,202,32663,15,30,3190,3,12,893,2,10,366,202,202,32663,15,30,3190,3,12,893,2,10,366
201912,310,12980, ,Battle Creek  MI ,3,3,629,0,0,0,0,0,0,0,0,0,3,3,629,0,0,0,0,0,0,0,0,0
201912,310,28020, ,Kalamazoo-Portage  MI ,101,101,30413,0,0,0,0,0,0,0,0,0,101,101,30413,0,0,0,0,0,0,0,0,0
201912,312,28140, ,Kansas City  MO-KS ,4797,4797,1339743,173,346,42687,69,259,43235,93,3899,451939,4330,4330,1206379,166,332,41331,68,255,42619,87,3863,447758
201912,312,29940, ,Lawrence  KS ,174,174,45574,0,0,0,4,14,1948,6,185,20270,174,174,45574,0,0,0,4,14,1948,6,185,20270
201912,312,41140, ,St. Joseph  MO-KS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201912,313,28420,C,Kennewick-Richland  WA ,1668,1668,469254,30,60,8646,7,28,4302,26,708,83247,840,840,241359,16,32,5209,7,28,4302,23,663,78835
201912,313,47460, ,Walla Walla  WA ,111,111,32616,3,6,980,0,0,0,0,0,0,101,101,31616,3,6,980,0,0,0,0,0,0
201912,315,28940, ,Knoxville  TN ,2613,2613,564234,2,4,900,1,4,400,22,954,140479,1996,1996,431600,2,4,900,1,4,400,22,954,140479
201912,316,29020, ,Kokomo  IN ,69,69,12433,0,0,0,0,0,0,6,152,14180,69,69,12433,0,0,0,0,0,0,6,152,14180
201912,318,29180, ,Lafayette  LA ,1619,1619,348148,0,0,0,0,0,0,1,24,3100,643,643,129037,0,0,0,0,0,0,0,0,0
201912,320,29200, ,Lafayette-West Lafayette  IN ,449,449,113271,6,12,1743,0,0,0,34,836,84041,403,403,107043,6,12,1743,0,0,0,9,510,60935
201912,324,29340, ,Lake Charles  LA ,839,839,149168,32,64,4170,1,4,264,7,220,22828,445,445,73240,32,64,4170,1,4,264,7,220,22828
201912,332,29820,C,Las Vegas-Henderson-Paradise  NV ,9361,9361,2136732,17,34,6345,67,210,30192,103,3109,312995,9361,9361,2136732,17,34,6345,67,210,30192,103,3109,312995
201912,336,30460,C,Lexington-Fayette  KY ,1314,1314,294551,24,48,6695,7,22,3955,42,1503,153808,752,752,188027,4,8,848,2,7,1825,26,1380,145464
201912,338,30620, ,Lima  OH ,4,4,1153,1,2,40,0,0,0,0,0,0,4,4,1153,0,0,0,0,0,0,0,0,0
201912,339,30700, ,Lincoln  NE ,967,967,218813,13,26,3721,0,0,0,19,838,93971,6,6,1800,0,0,0,0,0,0,0,0,0
201912,340,30780, ,Little Rock-North Little Rock-Conway  AR ,1871,1871,366066,15,30,2194,6,24,1725,26,1030,85261,1473,1473,298663,6,12,829,6,24,1725,14,929,82498
201912,340,38220, ,Pine Bluff  AR ,18,18,2679,0,0,0,0,0,0,0,0,0,10,10,1354,0,0,0,0,0,0,0,0,0
201912,348,31080,C,Los Angeles-Long Beach-Anaheim  CA ,9236,9236,2959167,838,1676,330564,109,369,74973,534,18646,3461112,7850,7850,2442796,785,1570,301574,71,243,51936,476,17746,3306748
201912,348,37100, ,Oxnard-Thousand Oaks-Ventura  CA ,126,126,36586,16,32,8673,9,27,7257,39,472,55139,112,112,33872,15,30,8468,9,27,7257,27,231,23698
201912,348,40140, ,Riverside-San Bernardino-Ontario  CA ,10403,10403,2805989,61,122,24864,45,164,27994,206,3344,414749,9296,9296,2524489,55,110,22429,24,84,15389,141,2296,309224
201912,350,21060, ,Elizabethtown-Fort Knox  KY ,425,425,85088,21,42,5640,0,0,0,4,24,1440,425,425,85088,21,42,5640,0,0,0,4,24,1440
201912,350,31140, ,Louisville-Jefferson County  KY-IN ,3111,3111,857410,15,30,3487,11,40,4706,105,2574,248389,1720,1720,443827,8,16,1895,10,37,4372,14,381,35054
201912,352,31180, ,Lubbock  TX ,1508,1508,341266,78,156,18202,0,0,0,63,589,40524,1498,1498,339536,78,156,18202,0,0,0,63,589,40524
201912,356,31420, ,Macon-Bibb County  GA ,290,290,45828,0,0,0,0,0,0,0,0,0,158,158,22489,0,0,0,0,0,0,0,0,0
201912,356,47580, ,Warner Robins  GA ,996,996,197991,0,0,0,0,0,0,8,180,15703,996,996,197991,0,0,0,0,0,0,8,180,15703
201912,357,27500, ,Janesville-Beloit  WI ,170,170,41786,6,12,1915,0,0,0,8,208,26925,170,170,41786,6,12,1915,0,0,0,8,208,26925
201912,357,31540, ,Madison  WI ,1548,1548,518724,52,104,20738,15,49,8642,59,2035,289158,1358,1358,460340,44,88,17466,7,24,4850,35,1585,235132
201912,359,31860, ,Mankato  MN ,90,90,19585,2,4,990,0,0,0,1,45,8607,89,89,19380,2,4,990,0,0,0,1,45,8607
201912,365,32580,C,McAllen-Edinburg-Mission  TX ,3383,3383,551388,156,312,80174,186,742,59494,40,925,70991,3130,3130,528618,150,300,79322,186,742,59494,40,925,70991
201912,366,32780, ,Medford  OR ,500,500,128666,6,12,1764,4,16,1914,10,132,14819,500,500,128666,6,12,1764,4,16,1914,10,132,14819
201912,368,32820, ,Memphis  TN-MS-AR ,3309,3309,723447,0,0,0,3,12,1611,8,343,50227,3022,3022,663859,0,0,0,3,12,1611,8,343,50227
201912,370,33100, ,Miami-Fort Lauderdale-Pompano Beach  FL ,7190,7190,2602454,195,390,64675,26,97,20003,277,13307,2462633,6127,6127,2219488,194,388,64525,26,97,20003,236,12267,2359083
201912,370,38940, ,Port St. Lucie  FL ,2944,2944,665342,88,176,21789,5,20,3378,16,256,38366,2933,2933,664492,88,176,21789,5,20,3378,16,256,38366
201912,370,42680, ,Sebastian-Vero Beach  FL ,1143,1143,451305,3,6,1146,30,91,10180,0,0,0,1143,1143,451305,3,6,1146,30,91,10180,0,0,0
201912,372,33260, ,Midland  TX ,1290,1290,209964,0,0,0,0,0,0,0,0,0,1290,1290,209964,0,0,0,0,0,0,0,0,0
201912,372,36220,C,Odessa  TX ,743,743,172628,2,4,600,0,0,0,35,1035,123951,743,743,172628,2,4,600,0,0,0,35,1035,123951
201912,376,33340,C,Milwaukee-Waukesha  WI ,1520,1520,561816,92,184,35913,5,19,4238,22,580,64688,1196,1196,434515,84,168,32670,5,19,4238,15,521,57212
201912,376,39540, ,Racine  WI ,151,151,47214,5,10,2071,0,0,0,7,84,13561,151,151,47214,5,10,2071,0,0,0,7,84,13561
201912,378,33460, ,Minneapolis-St. Paul-Bloomington  MN-WI ,9513,9513,2900667,62,124,24538,26,96,23439,155,12733,1993657,8985,8985,2731954,59,118,23116,24,89,22113,134,12277,1940743
201912,378,41060, ,St. Cloud  MN ,5,5,1385,0,0,0,0,0,0,0,0,0,5,5,1385,0,0,0,0,0,0,0,0,0
201912,380,19300, ,Daphne-Fairhope-Foley  AL ,2158,2158,455667,20,40,5452,6,22,2575,18,467,51407,1839,1839,402016,20,40,5452,6,22,2575,4,202,30852
201912,380,33660, ,Mobile  AL ,712,712,160632,0,0,0,1,3,338,0,0,0,645,645,148192,0,0,0,0,0,0,0,0,0
201912,384,33740, ,Monroe  LA ,315,315,71997,4,8,293,10,32,5031,22,110,12523,232,232,54999,0,0,0,0,0,0,12,60,6735
201912,388,33860, ,Montgomery  AL ,748,748,160037,0,0,0,2,6,800,0,0,0,748,748,160037,0,0,0,2,6,800,0,0,0
201912,390,34060, ,Morgantown  WV ,11,11,2098,0,0,0,0,0,0,2,14,2285,10,10,1898,0,0,0,0,0,0,2,14,2285
201912,396,34820, ,Myrtle Beach-Conway-North Myrtle Beach  SC-NC ,6077,6077,1156437,33,66,9989,1,4,602,17,293,31412,3926,3926,607178,25,50,5989,1,4,602,0,0,0
201912,400,34980, ,Nashville-Davidson--Murfreesboro--Franklin  TN ,13432,13432,3519024,16,32,4366,17,57,7894,173,8324,801835,13237,13237,3469230,16,32,4366,17,57,7894,173,8324,801835
201912,406,25220, ,Hammond  LA ,816,816,156437,3,6,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201912,406,35380, ,New Orleans-Metairie  LA ,3178,3178,697584,124,248,26726,3,9,1817,12,522,97140,2495,2495,537665,9,18,1623,1,3,373,0,0,0
201912,408,14860,C,Bridgeport-Stamford-Norwalk  CT ,625,625,399523,20,40,7169,6,20,3862,31,1641,402856,364,364,172955,9,18,4697,5,17,3620,22,1586,369245
201912,408,20700, ,East Stroudsburg  PA ,88,88,26007,0,0,0,0,0,0,0,0,0,56,56,17553,0,0,0,0,0,0,0,0,0
201912,408,28740, ,Kingston  NY ,48,48,10283,2,4,390,0,0,0,25,145,26805,34,34,7324,2,4,390,0,0,0,12,72,9000
201912,408,35300, ,New Haven-Milford  CT ,221,221,36361,26,52,4981,8,26,2554,22,793,83604,171,171,27733,26,52,4981,8,26,2554,6,626,72774
201912,408,35620,C,New York-Newark-Jersey City  NY-NJ-PA ,11448,11448,2910983,902,1804,238339,402,1315,146150,1403,46179,5234877,9649,9649,2426184,800,1600,214351,264,855,113266,1042,39649,4626210
201912,408,39100, ,Poughkeepsie-Newburgh-Middletown  NY ,235,235,74533,6,12,2174,5,16,3717,29,740,90964,170,170,58887,2,4,320,2,7,1750,15,429,56121
201912,408,45940,C,Trenton-Princeton  NJ ,181,181,32190,1,2,32,15,53,4409,29,302,16009,150,150,25104,1,2,32,6,21,2210,10,130,6789
201912,412,35840,C,North Port-Sarasota-Bradenton  FL ,6487,6487,1611796,11,22,5382,51,194,57398,108,3251,357556,6482,6482,1611058,11,22,5382,51,194,57398,108,3251,357556
201912,412,39460, ,Punta Gorda  FL ,1994,1994,567455,66,132,20570,1,4,1256,5,114,15597,1994,1994,567455,66,132,20570,1,4,1256,5,114,15597
201912,416,36420,C,Oklahoma City  OK ,5895,5895,1351316,167,334,35898,9,34,3822,6,265,36100,1721,1721,463653,95,190,18034,8,31,3209,4,250,34600
201912,420,36540, ,Omaha-Council Bluffs  NE-IA ,2648,2648,557705,17,34,4184,1,4,389,31,1380,90940,1800,1800,343603,16,32,3966,1,4,389,28,1234,78790
201912,422,19660, ,Deltona-Daytona Beach-Ormond Beach  FL ,2603,2603,749405,104,208,31920,0,0,0,14,595,63170,1969,1969,579519,102,204,31360,0,0,0,9,477,48663
