Survey,CSA,CBSA,MONCOV,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
202012,172,16740, ,Charlotte-Concord-Gastonia  NC-SC ,17807,17807,4519707,32,64,7604,7,22,4027,193,6332,627577,14643,14643,3508375,30,60,7162,5,16,2978,181,6162,608280
202012,174,16860, ,Chattanooga  TN-GA ,1825,1825,388441,47,94,7176,10,32,2701,24,433,43381,1318,1318,274490,7,14,1406,4,14,1657,0,0,0
202012,174,17420, ,Cleveland  TN ,421,421,76643,1,2,120,10,35,3348,0,0,0,208,208,38012,1,2,120,10,35,3348,0,0,0
202012,176,16980, ,Chicago-Naperville-Elgin  IL-IN-WI ,8120,8120,2319023,161,322,57256,147,498,88640,237,6108,745868,6980,6980,1995915,145,290,51602,137,466,84582,199,5876,706439
202012,176,28100, ,Kankakee  IL ,20,20,5735,0,0,0,0,0,0,0,0,0,20,20,5735,0,0,0,0,0,0,0,0,0
202012,176,33140, ,Michigan City-La Porte  IN ,110,110,31615,0,0,0,0,0,0,0,0,0,102,102,29644,0,0,0,0,0,0,0,0,0
202012,178,17140, ,Cincinnati  OH-KY-IN ,5372,5372,1413488,29,58,8251,26,97,12271,92,1732,199603,4928,4928,1299926,29,58,8251,26,97,12271,92,1732,199603
202012,184,10420, ,Akron  OH ,514,514,285562,2,4,314,3,11,642,4,24,730,514,514,285562,2,4,314,3,11,642,4,24,730
202012,184,15940, ,Canton-Massillon  OH ,445,445,113949,14,28,3321,8,26,2072,14,90,6366,393,393,107880,14,28,3321,2,8,1149,3,32,1911
202012,184,17460, ,Cleveland-Elyria  OH ,2778,2778,792560,14,28,2316,31,116,6268,20,424,51579,2410,2410,718747,9,18,2263,27,104,5438,20,424,51579
202012,190,17860, ,Columbia  MO ,801,801,215036,3,6,525,0,0,0,5,122,20701,793,793,213600,3,6,525,0,0,0,5,122,20701
202012,192,17900,C,Columbia  SC ,4771,4771,1068196,2,4,301,0,0,0,14,86,11228,1434,1434,275537,2,4,301,0,0,0,1,8,635
202012,194,12220,C,Auburn-Opelika  AL ,1316,1316,355549,9,18,3391,5,18,3982,59,869,126025,926,926,261672,7,14,2533,5,18,3982,56,854,124176
202012,194,17980, ,Columbus  GA-AL ,1277,1277,169080,7,14,689,0,0,0,18,511,78505,1276,1276,168846,7,14,689,0,0,0,18,511,78505
202012,198,18140, ,Columbus  OH ,5307,5307,1581320,51,102,18238,43,159,17511,246,6484,557104,4642,4642,1401943,48,96,16738,33,121,13592,231,6397,548714
202012,204,18580, ,Corpus Christi  TX ,1281,1281,291970,0,0,0,0,0,0,0,0,0,1190,1190,278237,0,0,0,0,0,0,0,0,0
202012,206,19100, ,Dallas-Fort Worth-Arlington  TX ,43884,43884,10924478,414,828,99524,57,217,28015,389,15133,1805827,28971,28971,7617007,331,662,80223,40,155,19609,301,12122,1435956
202012,209,19340, ,Davenport-Moline-Rock Island  IA-IL ,319,319,77509,0,0,0,6,22,2887,4,90,18486,232,232,62848,0,0,0,6,22,2887,3,75,16924
202012,212,19430, ,Dayton-Kettering  OH ,1025,1025,341382,14,28,4811,9,28,3921,11,193,21883,668,668,260964,12,24,4500,9,28,3921,11,193,21883
202012,212,44220, ,Springfield  OH ,129,129,35937,0,0,0,1,4,364,1,6,505,129,129,35937,0,0,0,1,4,364,1,6,505
202012,216,14500, ,Boulder  CO ,542,542,223005,9,18,3507,5,17,3983,38,963,148707,410,410,165619,0,0,0,0,0,0,19,558,82198
202012,216,19740,C,Denver-Aurora-Lakewood  CO ,11188,11188,3214783,159,318,56139,29,101,17642,141,7959,1101561,11042,11042,3157148,159,318,56139,29,101,17642,138,7887,1092861
202012,216,24540, ,Greeley  CO ,3046,3046,823887,14,28,5279,15,55,11209,39,722,62877,2476,2476,665389,14,28,5279,12,44,8968,38,702,61577
202012,218,11180, ,Ames  IA ,89,89,28176,0,0,0,1,3,440,1,8,875,88,88,27879,0,0,0,1,3,440,1,8,875
202012,218,19780, ,Des Moines-West Des Moines  IA ,4653,4653,1291098,22,44,9681,2,8,1157,56,1698,204003,4532,4532,1250052,22,44,9681,2,8,1157,41,1566,189842
202012,220,11460, ,Ann Arbor  MI ,450,450,137895,66,132,12310,5,17,3572,3,44,6110,326,326,102427,66,132,12310,2,8,1748,1,34,5010
202012,220,19820, ,Detroit-Warren-Dearborn  MI ,5191,5191,1462850,49,98,15704,36,133,18966,99,1822,296140,4231,4231,1247356,44,88,14967,20,77,14139,77,1524,255810
202012,220,22420, ,Flint  MI ,219,219,56877,0,0,0,25,92,18984,0,0,0,148,148,36569,0,0,0,0,0,0,0,0,0
202012,220,33780, ,Monroe  MI ,6,6,1432,0,0,0,0,0,0,0,0,0,6,6,1432,0,0,0,0,0,0,0,0,0
202012,222,20020, ,Dothan  AL ,296,296,75437,0,0,0,0,0,0,0,0,0,296,296,75437,0,0,0,0,0,0,0,0,0
202012,232,20740, ,Eau Claire  WI ,427,427,119840,77,154,23361,4,16,2431,33,354,44587,424,424,119189,77,154,23361,4,16,2431,33,354,44587
202012,236,21300, ,Elmira  NY ,1,1,280,0,0,0,0,0,0,0,0,0,1,1,280,0,0,0,0,0,0,0,0,0
202012,238,21340,C,El Paso  TX ,2859,2859,679166,63,126,16802,9,33,4374,20,340,45784,754,754,176254,20,40,4917,0,0,0,0,0,0
202012,238,29740,C,Las Cruces  NM ,1033,1033,264365,2,4,789,2,8,632,7,64,4500,905,905,235936,2,4,789,2,8,632,7,64,4500
202012,240,21500, ,Erie  PA ,62,62,13839,0,0,0,2,8,400,3,21,1900,62,62,13839,0,0,0,2,8,400,3,21,1900
202012,244,22020, ,Fargo  ND-MN ,1193,1193,328863,0,0,0,2,8,1472,14,768,81694,1174,1174,323468,0,0,0,2,8,1472,14,768,81694
202012,246,22180, ,Fayetteville  NC ,1707,1707,303559,3,6,635,1,4,600,3,66,12000,970,970,200010,3,6,635,1,4,600,3,66,12000
202012,258,23060,C,Fort Wayne  IN ,1520,1520,422299,70,140,8407,4,15,1420,12,111,8247,1520,1520,422299,70,140,8407,4,15,1420,12,111,8247
202012,260,23420,C,Fresno  CA ,2631,2631,796593,34,68,9392,13,46,4187,37,353,48331,51,51,12858,1,2,444,0,0,0,0,0,0
202012,260,31460, ,Madera  CA ,741,741,332712,0,0,0,0,0,0,7,106,17063,741,741,332712,0,0,0,0,0,0,7,106,17063
202012,264,23540, ,Gainesville  FL ,604,604,173587,0,0,0,0,0,0,12,906,30849,455,455,153595,0,0,0,0,0,0,0,0,0
202012,266,24340, ,Grand Rapids-Kentwood  MI ,1517,1517,418542,17,34,7056,9,33,3869,36,733,109500,1414,1414,388054,14,28,5646,8,30,3002,23,601,95317
202012,266,34740, ,Muskegon  MI ,33,33,6011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202012,267,24580, ,Green Bay  WI ,726,726,204704,15,30,4779,0,0,0,31,268,21391,548,548,155394,15,30,4779,0,0,0,19,205,16994
202012,268,15500, ,Burlington  NC ,800,800,151742,0,0,0,0,0,0,0,0,0,800,800,151742,0,0,0,0,0,0,0,0,0
202012,268,24660,C,Greensboro-High Point  NC ,2253,2253,537784,6,12,899,0,0,0,27,902,107656,1536,1536,304555,4,8,717,0,0,0,27,902,107656
202012,268,49180, ,Winston-Salem  NC ,2837,2837,546262,0,0,0,2,6,553,7,80,11658,2639,2639,500138,0,0,0,0,0,0,1,28,9608
202012,272,24780, ,Greenville  NC ,332,332,77690,16,32,3401,0,0,0,0,0,0,332,332,77690,16,32,3401,0,0,0,0,0,0
202012,273,24860, ,Greenville-Anderson  SC ,6369,6369,1611521,78,156,14807,3,11,1518,99,2056,182093,6103,6103,1559864,77,154,14642,3,11,1518,95,1996,177486
202012,273,43900, ,Spartanburg  SC ,2839,2839,459852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202012,276,23900,C,Gettysburg  PA ,237,237,51994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202012,276,25420,C,Harrisburg-Carlisle  PA ,1266,1266,271410,15,30,4464,18,63,9811,26,257,25987,753,753,162457,5,10,1223,12,42,6272,18,206,21078
202012,276,30140, ,Lebanon  PA ,165,165,31579,0,0,0,0,0,0,2,11,1138,165,165,31579,0,0,0,0,0,0,2,11,1138
202012,276,49620, ,York-Hanover  PA ,136,136,34813,4,8,759,11,41,3853,3,38,1875,121,121,30867,4,8,759,11,41,3853,3,38,1875
202012,277,25500,C,Harrisonburg  VA ,575,575,166284,0,0,0,0,0,0,2,21,2857,575,575,166284,0,0,0,0,0,0,2,21,2857
202012,277,44420, ,Staunton  VA ,242,242,54213,0,0,0,0,0,0,2,80,10000,242,242,54213,0,0,0,0,0,0,2,80,10000
202012,278,25540,C,Hartford-East Hartford-Middletown  CT ,804,804,185834,15,30,2861,9,35,5341,44,527,44115,575,575,135827,8,16,1421,9,35,5341,12,250,24355
202012,278,35980, ,Norwich-New London  CT ,174,174,39329,2,4,486,0,0,0,5,80,5579,119,119,28765,0,0,0,0,0,0,5,80,5579
202012,279,25620, ,Hattiesburg  MS ,48,48,11920,0,0,0,1,3,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202012,284,26300, ,Hot Springs  AR ,79,79,17772,1,2,400,0,0,0,1,7,700,79,79,17772,1,2,400,0,0,0,1,7,700
202012,288,26420, ,Houston-The Woodlands-Sugar Land  TX ,48208,48208,9803274,157,314,24765,9,35,5805,606,19858,2054714,38986,38986,7973022,153,306,23777,9,35,5805,520,17810,1824864
202012,290,19460, ,Decatur  AL ,206,206,43953,0,0,0,0,0,0,1,8,800,150,150,33405,0,0,0,0,0,0,1,8,800
202012,290,26620,C,Huntsville  AL ,4211,4211,777492,13,26,2185,4,15,4353,7,90,8804,2536,2536,356143,13,26,2185,4,15,4353,7,90,8804
202012,292,26820, ,Idaho Falls  ID ,1126,1126,191173,2,4,314,5,20,2819,0,0,0,1112,1112,188759,2,4,314,5,20,2819,0,0,0
202012,294,18020, ,Columbus  IN ,169,169,43019,0,0,0,0,0,0,0,0,0,169,169,43019,0,0,0,0,0,0,0,0,0
202012,294,26900, ,Indianapolis-Carmel-Anderson  IN ,8083,8083,2433966,98,196,34116,39,148,21298,98,2242,248225,7418,7418,2251154,95,190,33579,39,148,21298,97,2237,248122
202012,294,34620, ,Muncie  IN ,32,32,5581,0,0,0,0,0,0,1,55,6901,32,32,5581,0,0,0,0,0,0,1,55,6901
202012,296,27060, ,Ithaca  NY ,13,13,3778,7,14,1659,0,0,0,11,64,7682,0,0,0,0,0,0,0,0,0,0,0,0
202012,297,27180, ,Jackson  TN ,162,162,41211,0,0,0,0,0,0,0,0,0,162,162,41211,0,0,0,0,0,0,0,0,0
202012,298,27140, ,Jackson  MS ,1079,1079,280300,1,2,247,1,3,45,3,62,6845,840,840,210529,0,0,0,0,0,0,0,0,0
202012,300,27260,C,Jacksonville  FL ,13046,13046,3271254,34,68,8471,41,164,21987,65,3083,336272,11882,11882,2956695,33,66,7956,41,164,21987,56,2890,334090
202012,304,27740, ,Johnson City  TN ,185,185,32597,2,4,225,1,3,203,25,343,9416,185,185,32597,2,4,225,1,3,203,25,343,9416
202012,304,28700, ,Kingsport-Bristol  TN-VA ,16,16,4610,0,0,0,0,0,0,0,0,0,4,4,1450,0,0,0,0,0,0,0,0,0
202012,306,27780, ,Johnstown  PA ,1,1,250,0,0,0,0,0,0,0,0,0,1,1,250,0,0,0,0,0,0,0,0,0
202012,308,27860, ,Jonesboro  AR ,544,544,83482,36,72,4937,39,142,7370,13,76,4294,77,77,10295,1,2,125,0,0,0,0,0,0
202012,309,27900, ,Joplin  MO ,209,209,36012,11,22,2123,0,0,0,9,124,8514,181,181,31907,11,22,2123,0,0,0,9,124,8514
202012,310,12980, ,Battle Creek  MI ,3,3,500,0,0,0,0,0,0,0,0,0,3,3,500,0,0,0,0,0,0,0,0,0
202012,310,28020, ,Kalamazoo-Portage  MI ,203,203,51401,0,0,0,0,0,0,0,0,0,164,164,42379,0,0,0,0,0,0,0,0,0
202012,312,28140, ,Kansas City  MO-KS ,6159,6159,1746565,150,300,40599,84,329,50506,140,3950,405648,5634,5634,1587061,141,282,38860,82,323,49583,135,3925,402744
202012,312,29940, ,Lawrence  KS ,193,193,63657,0,0,0,0,0,0,8,99,9225,193,193,63657,0,0,0,0,0,0,8,99,9225
202012,312,41140, ,St. Joseph  MO-KS ,2,2,450,0,0,0,0,0,0,0,0,0,2,2,450,0,0,0,0,0,0,0,0,0
202012,313,28420,C,Kennewick-Richland  WA ,1748,1748,511572,14,28,4196,1,4,682,9,190,26969,1748,1748,511572,14,28,4196,1,4,682,9,190,26969
202012,313,47460, ,Walla Walla  WA ,109,109,33001,4,8,1234,2,8,1045,0,0,0,98,98,31901,4,8,1234,2,8,1045,0,0,0
202012,315,28940, ,Knoxville  TN ,3412,3412,757977,21,42,8376,27,94,12698,52,1373,215921,3180,3180,721709,21,42,8376,27,94,12698,36,1049,189801
202012,316,29020, ,Kokomo  IN ,110,110,25299,7,14,800,0,0,0,1,16,1000,110,110,25299,7,14,800,0,0,0,1,16,1000
202012,318,29180, ,Lafayette  LA ,2521,2521,473057,0,0,0,1,3,274,2,13,1375,1983,1983,375436,0,0,0,1,3,274,2,13,1375
202012,320,29200, ,Lafayette-West Lafayette  IN ,401,401,107798,0,0,0,0,0,0,32,916,105837,371,371,103262,0,0,0,0,0,0,18,510,61829
202012,324,29340, ,Lake Charles  LA ,890,890,154474,34,68,4632,0,0,0,3,72,4000,396,396,61456,30,60,4245,0,0,0,3,72,4000
202012,332,29820,C,Las Vegas-Henderson-Paradise  NV ,10038,10038,2474443,269,538,29898,177,584,67290,168,2940,252596,10038,10038,2474443,269,538,29898,177,584,67290,168,2940,252596
202012,336,30460,C,Lexington-Fayette  KY ,1450,1450,334629,16,32,3729,13,47,7582,25,782,74302,628,628,162801,14,28,3291,6,23,4021,9,51,3825
202012,338,30620, ,Lima  OH ,7,7,2610,1,2,80,0,0,0,0,0,0,7,7,2610,0,0,0,0,0,0,0,0,0
202012,339,30700, ,Lincoln  NE ,1090,1090,251591,15,30,4221,1,3,480,18,745,84552,52,52,12587,0,0,0,0,0,0,0,0,0
202012,340,30780, ,Little Rock-North Little Rock-Conway  AR ,2033,2033,435507,30,60,6299,33,99,8880,31,399,30394,1455,1455,346586,19,38,4630,33,99,8880,19,316,28109
202012,340,38220, ,Pine Bluff  AR ,23,23,3489,0,0,0,0,0,0,0,0,0,10,10,1592,0,0,0,0,0,0,0,0,0
202012,348,31080,C,Los Angeles-Long Beach-Anaheim  CA ,9580,9580,2832297,637,1274,264152,125,424,98410,428,15796,3094927,7813,7813,2271775,583,1166,236173,91,315,76316,345,13323,2667123
202012,348,37100, ,Oxnard-Thousand Oaks-Ventura  CA ,114,114,31258,18,36,6347,10,30,8299,27,620,109059,114,114,31258,18,36,6347,10,30,8299,27,620,109059
202012,348,40140, ,Riverside-San Bernardino-Ontario  CA ,12432,12432,3204706,105,210,22964,84,305,48527,144,1381,174540,11434,11434,3002062,103,206,22561,84,305,48527,126,1281,167757
202012,350,21060, ,Elizabethtown-Fort Knox  KY ,495,495,97985,24,48,5732,18,66,4537,10,152,9017,495,495,97985,24,48,5732,18,66,4537,10,152,9017
202012,350,31140, ,Louisville-Jefferson County  KY-IN ,3606,3606,879888,26,52,7044,9,32,4406,32,768,69578,3344,3344,823546,26,52,7044,8,28,3606,32,768,69578
202012,352,31180, ,Lubbock  TX ,2017,2017,420456,127,254,28413,1,4,400,138,1576,153258,1999,1999,417141,127,254,28413,1,4,400,135,1561,152180
202012,356,31420, ,Macon-Bibb County  GA ,360,360,73605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202012,356,47580, ,Warner Robins  GA ,1094,1094,222462,1,2,118,6,24,2442,4,90,7500,866,866,167889,1,2,118,6,24,2442,4,90,7500
202012,357,27500, ,Janesville-Beloit  WI ,246,246,53842,9,18,3319,0,0,0,2,140,19262,139,139,24440,9,18,3319,0,0,0,2,140,19262
202012,357,31540, ,Madison  WI ,1641,1641,559076,52,104,22580,9,34,4610,64,2864,371083,1333,1333,471052,28,56,10561,7,28,3552,55,2768,356306
202012,359,31860, ,Mankato  MN ,142,142,30385,2,4,550,2,7,2250,3,162,26294,142,142,30385,2,4,550,2,7,2250,3,162,26294
202012,365,32580,C,McAllen-Edinburg-Mission  TX ,3496,3496,670233,78,156,8824,195,778,65972,33,484,42916,3128,3128,631956,73,146,8074,194,775,65569,33,484,42916
202012,366,32780, ,Medford  OR ,526,526,145454,2,4,848,0,0,0,7,87,10217,526,526,145454,2,4,848,0,0,0,7,87,10217
202012,368,32820, ,Memphis  TN-MS-AR ,3848,3848,824390,12,24,3453,4,14,2111,29,872,103099,3402,3402,751898,12,24,3453,4,14,2111,28,849,100299
202012,370,33100, ,Miami-Fort Lauderdale-Pompano Beach  FL ,7800,7800,2614129,167,334,64259,98,369,46936,345,13331,2040789,6899,6899,2231575,167,334,64259,92,349,41788,310,12924,2002906
202012,370,38940, ,Port St. Lucie  FL ,4111,4111,930500,88,176,17602,3,12,834,31,193,8021,4111,4111,930500,88,176,17602,3,12,834,31,193,8021
202012,370,42680, ,Sebastian-Vero Beach  FL ,933,933,380538,1,2,251,1,3,184,0,0,0,933,933,380538,1,2,251,1,3,184,0,0,0
202012,372,33260, ,Midland  TX ,1289,1289,178729,0,0,0,0,0,0,0,0,0,1289,1289,178729,0,0,0,0,0,0,0,0,0
202012,372,36220,C,Odessa  TX ,898,898,210401,1,2,224,0,0,0,8,288,34519,898,898,210401,1,2,224,0,0,0,8,288,34519
202012,376,33340,C,Milwaukee-Waukesha  WI ,1596,1596,619889,160,320,58338,6,24,3481,41,711,91957,1385,1385,517135,140,280,55009,6,24,3481,40,475,55957
202012,376,39540, ,Racine  WI ,113,113,41387,8,16,3055,0,0,0,3,36,5812,113,113,41387,8,16,3055,0,0,0,3,36,5812
202012,378,33460, ,Minneapolis-St. Paul-Bloomington  MN-WI ,9893,9893,3054915,69,138,27123,37,139,29348,165,11238,1665807,8869,8869,2703458,60,120,23382,32,121,25490,148,10842,1618040
202012,378,41060, ,St. Cloud  MN ,8,8,2643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202012,380,19300, ,Daphne-Fairhope-Foley  AL ,2439,2439,531434,8,16,2604,0,0,0,27,377,49294,786,786,225396,4,8,1572,0,0,0,12,175,32831
202012,380,33660, ,Mobile  AL ,880,880,188511,0,0,0,0,0,0,0,0,0,876,876,188052,0,0,0,0,0,0,0,0,0
202012,384,33740, ,Monroe  LA ,313,313,70935,7,14,694,10,32,5031,10,51,5904,224,224,52424,1,2,247,0,0,0,0,0,0
202012,388,33860, ,Montgomery  AL ,934,934,217505,2,4,180,1,4,370,1,5,420,934,934,217505,2,4,180,1,4,370,1,5,420
202012,390,34060, ,Morgantown  WV ,14,14,5580,0,0,0,0,0,0,0,0,0,12,12,5146,0,0,0,0,0,0,0,0,0
202012,396,34820, ,Myrtle Beach-Conway-North Myrtle Beach  SC-NC ,7151,7151,1338967,50,100,9987,0,0,0,33,566,53790,5733,5733,1011606,50,100,9987,0,0,0,26,531,52040
202012,400,34980, ,Nashville-Davidson--Murfreesboro--Franklin  TN ,14125,14125,3808451,58,116,16527,60,228,36826,217,11060,996567,12280,12280,3335502,56,112,16366,59,224,35826,213,11020,993398
202012,406,25220, ,Hammond  LA ,1042,1042,173214,4,8,860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202012,406,35380, ,New Orleans-Metairie  LA ,3506,3506,795562,144,288,32325,5,18,3321,11,480,85740,2619,2619,574904,21,42,4096,0,0,0,0,0,0
202012,408,14860,C,Bridgeport-Stamford-Norwalk  CT ,653,653,352506,26,52,9129,1,4,1200,42,1168,149900,418,418,193689,13,26,6802,1,4,1200,31,1033,117069
202012,408,20700, ,East Stroudsburg  PA ,94,94,28588,0,0,0,0,0,0,0,0,0,67,67,20463,0,0,0,0,0,0,0,0,0
202012,408,28740, ,Kingston  NY ,60,60,14565,1,2,200,0,0,0,6,35,8537,53,53,13221,1,2,200,0,0,0,0,0,0
202012,408,35300, ,New Haven-Milford  CT ,225,225,38909,15,30,3109,0,0,0,24,834,43364,169,169,29264,15,30,3109,0,0,0,11,705,35115
202012,408,35620,C,New York-Newark-Jersey City  NY-NJ-PA ,10969,10969,2691479,818,1636,199881,250,820,87699,1298,40283,4669780,8479,8479,2009436,577,1154,155235,172,568,63733,827,33734,3860545
202012,408,39100, ,Poughkeepsie-Newburgh-Middletown  NY ,285,285,93499,5,10,2925,6,22,4028,27,537,73349,170,170,43734,5,10,2925,5,19,3278,27,537,73349
202012,408,45940,C,Trenton-Princeton  NJ ,218,218,64598,0,0,0,7,25,2115,32,587,48530,95,95,41521,0,0,0,7,25,2115,20,525,44205
202012,412,35840,C,North Port-Sarasota-Bradenton  FL ,8431,8431,2213082,72,144,15926,35,132,24780,47,780,86916,8431,8431,2213082,72,144,15926,35,132,24780,47,780,86916
202012,412,39460, ,Punta Gorda  FL ,2267,2267,625599,53,106,16502,11,44,11847,19,374,61524,2267,2267,625599,53,106,16502,11,44,11847,19,374,61524
202012,416,36420,C,Oklahoma City  OK ,6873,6873,1624283,161,322,32017,6,23,3308,24,246,16782,6038,6038,1467876,141,282,28861,6,23,3308,24,246,16782
202012,420,36540, ,Omaha-Council Bluffs  NE-IA ,3543,3543,757546,28,56,7773,4,14,2581,71,1966,164935,3026,3026,631893,22,44,6500,3,11,1981,69,1956,163827
202012,422,19660, ,Deltona-Daytona Beach-Ormond Beach  FL ,3492,3492,1014571,124,248,37687,0,0,0,29,971,95612,2869,2869,817948,123,246,37612,0,0,0,0,0,0
